,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
1185,2014-12-01,Karnataka,Belgaum,Wheat,17.0,1600.0,1620.0,1602.0,2014,12
1203,2015-01-01,Karnataka,Belgaum,Wheat,30.0,1000.0,2300.0,1800.0,2015,1
1222,2015-02-01,Karnataka,Belgaum,Wheat,30.0,1300.0,2100.0,1800.0,2015,2
1239,2015-03-01,Karnataka,Belgaum,Wheat,2.0,1400.0,1500.0,1450.0,2015,3
1279,2015-04-01,Karnataka,Belgaum,Wheat,25.0,1400.0,1500.0,1450.0,2015,4
1311,2015-05-01,Karnataka,Belgaum,Wheat,127.0,1500.0,1500.0,1500.0,2015,5
1340,2015-06-01,Karnataka,Belgaum,Wheat,132.0,1510.0,1640.0,1554.0,2015,6
1373,2015-07-01,Karnataka,Belgaum,Wheat,13.0,1325.0,1355.0,1350.0,2015,7
1415,2015-08-01,Karnataka,Belgaum,Wheat,14.0,1550.0,1550.0,1550.0,2015,8
1441,2015-09-01,Karnataka,Belgaum,Wheat,76.0,1560.0,1670.0,1660.0,2015,9
1463,2015-10-01,Karnataka,Belgaum,Wheat,72.0,1400.0,1550.0,1500.0,2015,10
1483,2015-11-01,Karnataka,Belgaum,Wheat,26.0,1400.0,1600.0,1500.0,2015,11
1504,2015-12-01,Karnataka,Belgaum,Wheat,4.0,1850.0,1850.0,1850.0,2015,12
1530,2016-01-01,Karnataka,Belgaum,Wheat,115.0,1500.0,1615.0,1550.0,2016,1
1542,2016-02-01,Karnataka,Belgaum,Wheat,13.0,1850.0,1850.0,1850.0,2016,2
1552,2016-03-01,Karnataka,Belgaum,Wheat,16.0,1780.0,1780.0,1780.0,2016,3
1578,2016-04-01,Karnataka,Belgaum,Wheat,14.0,1850.0,1850.0,1850.0,2016,4
1593,2016-05-01,Karnataka,Belgaum,Wheat,21.0,1350.0,1350.0,1350.0,2016,5
1606,2016-06-01,Karnataka,Belgaum,Wheat,5.0,1750.0,1750.0,1750.0,2016,6
1622,2016-07-01,Karnataka,Belgaum,Wheat,16.0,1850.0,1850.0,1850.0,2016,7
1642,2016-08-01,Karnataka,Belgaum,Wheat,14.0,1800.0,2050.0,1900.0,2016,8
1660,2016-09-01,Karnataka,Belgaum,Wheat,41.0,2900.0,3600.0,3300.0,2016,9
1672,2016-10-01,Karnataka,Belgaum,Wheat,68.0,1700.0,1825.0,1750.0,2016,10
1681,2016-11-01,Karnataka,Belgaum,Wheat,12.0,1950.0,1950.0,1950.0,2016,11
1691,2016-12-01,Karnataka,Belgaum,Wheat,23.0,1700.0,1800.0,1750.0,2016,12
1707,2017-01-01,Karnataka,Belgaum,Wheat,16.0,1500.0,1659.0,1600.0,2017,1
1715,2017-02-01,Karnataka,Belgaum,Wheat,15.0,1895.0,2100.0,1980.0,2017,2
1723,2017-03-01,Karnataka,Belgaum,Wheat,3.0,1800.0,1800.0,1800.0,2017,3
1750,2017-04-01,Karnataka,Belgaum,Wheat,5.0,1850.0,1850.0,1850.0,2017,4
1762,2017-05-01,Karnataka,Belgaum,Wheat,10.0,1610.0,1900.0,1700.0,2017,5
1767,2017-06-01,Karnataka,Belgaum,Wheat,2.0,1600.0,1600.0,1600.0,2017,6
1768,2017-07-01,Karnataka,Belgaum,Wheat,2.0,1600.0,1600.0,1600.0,2017,7
1769,2017-08-01,Karnataka,Belgaum,Wheat,2.0,1600.0,1600.0,1600.0,2017,8
1770,2017-09-01,Karnataka,Belgaum,Wheat,2.0,1600.0,1600.0,1600.0,2017,9
1771,2017-10-01,Karnataka,Belgaum,Wheat,2.0,1600.0,1600.0,1600.0,2017,10
1772,2017-11-01,Karnataka,Belgaum,Wheat,2.0,1600.0,1600.0,1600.0,2017,11
1773,2017-12-01,Karnataka,Belgaum,Wheat,2.0,1600.0,1600.0,1600.0,2017,12
